text,start_pos,end_pos,entity_type,release_date,release_url
has,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
charged,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
have,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
billed,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
working,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
are,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
taking,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
increase,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
decrease,,,VERB,2019-06-25T00:00:00-04:00,https://www.justice.gov/opa/pr/new-jerseypennsylvania-doctor-indicted-accepting-bribes-and-kickbacks-pharmaceutical-company
Detroit,2,9,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Brian A. Benczkowski,179,199,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Justice Departments Criminal Division,203,244,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
U.S.,246,250,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Matthew Schneider,260,277,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Eastern District of Michigan,281,313,LOC,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Special Agent,315,328,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Timothy R. Slater,339,356,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Detroit Division,369,385,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Timothy J. Plancon,411,429,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the U.S. Drug Enforcement Administration,433,473,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
DEA)s Detroit Division and Special Agent,475,515,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Lamont Pugh III,526,541,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the U.S. Department of Health and Human Services Office of Inspector Generals,545,622,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Chicago Regional Office,633,656,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Alex Kafi,680,689,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
M.D.,691,695,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
West Bloomfield,704,719,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Michigan,721,729,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
U.S.,748,752,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Victoria A. Roberts,768,787,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Eastern District of Michigan,791,823,LOC,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,825,829,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Alex Kafi,970,979,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Michigan,1110,1118,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Benczkowski,1189,1200,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Department of Justice,1318,1343,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Alex Kafi,1408,1417,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
U.S.,1601,1605,GPE,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Schneider,1615,1624,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafis,1630,1635,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Special Agent,1956,1969,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Charge Slater,1973,1986,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
FBI,1992,1995,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Strike Force Partners,2047,2068,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Special Agent,2346,2359,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Plancon,2370,2377,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
DEA,2383,2386,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Physicians,2534,2544,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,2555,2559,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Special Agent,2804,2817,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
OIG,2954,2957,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,3218,3222,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,3378,3382,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,3491,3495,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafi,3631,3635,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Kafis,3786,3791,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Danielle Smith,3805,3819,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Roberts,3843,3850,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Cheryl Ozoh,3915,3926,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Smith,3946,3951,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Ozoh,3956,3960,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
FBI,4054,4057,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
DEA,4059,4062,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
HHS,4067,4070,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Steven Scott,4113,4125,PERSON,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Criminal Divisions Fraud Section,4129,4165,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Medicare Fraud Strike Force,4215,4246,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Department of Justice,4292,4317,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
U.S. Department of Health and Human Services,4322,4366,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
HHS,4368,4371,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the Medicare Fraud Strike Force,4514,4545,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Medicare,4676,4684,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
the HHS Centers,4733,4748,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Medicare & Medicaid Services,4753,4781,ORG,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
was,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
sentenced,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
distribute,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
made,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
was,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
sentenced,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
pleaded,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
distribute,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
controlled,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Betraying,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
accepted,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
writing,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
flooded,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
said,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Holding,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
is,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
combat,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
will,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
continue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
pursue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
is,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
fueled,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
prescribe,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
said,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
contributed,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
opioid,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
lining,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
will,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
continue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
use,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
investigate,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
prosecute,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
are,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
investigating,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
use,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
distribute,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
said,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
is,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
committed,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
working,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
fight,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
ensure,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
prescribing,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
does,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
continue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
is,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
bring,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
betray,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
said,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
will,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
continue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
partner,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
identify,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
investigate,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
prosecute,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
use,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
conceal,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
Ensuring,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
is,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
protect,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
said,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
act,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
exacerbate,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
has,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
made,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
combatting,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
will,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
continue,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
working,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
investigate,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
hold,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
act,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
put,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
admitted,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
engaged,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
wrote,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
wrote,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
meeting,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
communicating,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
conspired,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
provided,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
admitted,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
admitted,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
involved,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
agreed,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
forfeit,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
representing,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
was,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
sentenced,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
serve,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
awaits,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
pleaded,,,VERB,2019-06-19T00:00:00-04:00,https://www.justice.gov/opa/pr/michigan-doctor-sentenced-prison-his-role-scheme-unlawfully-distribute-opioids
